budget,genre,id,original_language,popularity,revenue,runtime,title,vote_average,vote_count,Main_Actor,Popularity_Actor,Main_Actress,Popularity_Actress,Director,Popularity_Director,release_year,release_month,release_day
200000000,Action,436270,en,212.579,393252111,124,Black Adam,6.996,5592,Dwayne Johnson,54.688,Sarah Shahi,26.754,Jaume Collet-Serra,4.63,2022,10,19
130000000,Adventure,101299,en,209.735,865011746,146,The Hunger Games: Catching Fire,7.422,16327,Josh Hutcherson,128.918,Jennifer Lawrence,45.257,Francis Lawrence,19.444,2013,11,15
15000000,Horror,1071215,en,206.755,12000000,106,Thanksgiving,6.1,25,Patrick Dempsey,31.202,Addison Rae,10.694,Eli Roth,22.964,2023,11,16
50000000,Animation,568124,en,203.367,253000000,102,Encanto,7.623,8764,John Leguizamo,32.655,Stephanie Beatriz,23.686,Byron Howard,5.104,2021,10,13
75000000,Drama,677179,en,198.152,275248615,116,Creed III,7.181,2082,Michael B. Jordan,25.552,Tessa Thompson,30.862,Michael B. Jordan,25.552,2023,3,1
55000000,Thriller,156022,en,198.003,192330738,132,The Equalizer,7.258,8333,Denzel Washington,61.815,Chloë Grace Moretz,38.931,Antoine Fuqua,13.732,2014,9,24
160000000,Action,131634,en,197.971,653428261,137,The Hunger Games: Mockingjay - Part 2,6.889,11672,Josh Hutcherson,128.918,Jennifer Lawrence,45.257,Francis Lawrence,19.444,2015,11,18
60000000,Mystery,945729,en,197.721,119000000,104,A Haunting in Venice,6.808,1164,Kenneth Branagh,56.816,Camille Cottin,20.149,Kenneth Branagh,56.816,2023,9,13
200000000,Action,640146,en,195.13,476071180,125,Ant-Man and the Wasp: Quantumania,6.401,4199,Paul Rudd,36.148,Evangeline Lilly,36.405,Peyton Reed,15.553,2023,2,15
356000000,Adventure,299534,en,190.653,2800000000,181,Avengers: Endgame,8.261,24075,Robert Downey Jr.,46.048,Scarlett Johansson,61.259,Anthony Russo,6.694,2019,4,24
6,Family,34672,en,190.254,10,87,Chestnut: Hero of Central Park,7.235,189,Louis Ferreira,11.909,Abigail Breslin,19.039,Robert Vince,4.972,2004,10,21
45000000,Comedy,884605,en,189.743,82995526,104,No Hard Feelings,7.102,1748,Andrew Barth Feldman,10.601,Jennifer Lawrence,45.257,Gene Stupnitsky,5.626,2023,6,15
165000000,Adventure,507086,en,184.564,1001978080,147,Jurassic World Dominion,6.773,5319,Chris Pratt,80.937,Bryce Dallas Howard,25.693,Colin Trevorrow,5,2022,6,1
73801827,Science Fiction,842675,zh,183.691,604380922,173,The Wandering Earth II,7.2,395,Andy Lau,18.686,Zhu-Yan Manzi,5.802,Frant Gwo,5.781,2023,1,22
110000000,Action,675353,en,182.508,405421518,123,Sonic the Hedgehog 2,7.556,4371,Ben Schwartz,11.65,Tika Sumpter,19.862,Jeff Fowler,3.787,2022,3,30
